Year,Id,Name,Incumbent/Challenger/OpenSeat,Party Code,Party Designation,Total Receipts,Authorized Transfers From,Total Disbursements,Transfers to Authorized,Beginning Cash,Ending Cash,Contrib from Candidate,Loans from Candidate,Other Loans,Candidate Loan Repayments,Other Loan Repayments,Debts Owed By,Total Individual Contributions,State,District,Spec Elec Status,Primary Elec Status,Runoff Elec Status,General Elec Status,General Election Percentage,Contributions from Other Committees,Contributions from Party Committees,Ending Date,Refunds to Individuals,Refunds to Committees
1996,H6AK01019,"LINCOLN, GEORGIANNA",,1,DEM,246827,0,241694,0,0,491,0,2500,0,0,0,22681,212577,AK,0,,W,,L,37,21800,9950,12311996,,
1996,H6AK00128,"NEMEC, WILLIAM JAMES II",,3,OTH,0,0,50,0,0,0,0,0,0,0,0,0,0,AK,0,,W,,L,2,0,0,11301996,,
1996,H6AK00045,"YOUNG, DONALD E",I,2,REP,1171389,1500,1176954,0,32779,27213,0,0,0,0,0,35683,540484,AK,0,,W,,W,59,599261,2750,12311996,,
1996,H6AL04098,"ADERHOLT, ROBERT BROWN",O,2,REP,779046,0,763117,0,0,15927,695,146500,0,19700,0,126800,434945,AL,4,,W,,W,49,176566,20000,12311996,,
1996,H2AL06035,"BACHUS, SPENCER T III",I,2,REP,466986,0,511226,0,145719,101477,0,0,0,0,0,0,256568,AL,6,,W,,W,70,191426,5153,12311996,,
1996,H6AL06085,"BATES, MARY LYNN DOVITH",,1,DEM,37978,0,36522,0,0,1455,1008,0,0,0,0,0,19746,AL,6,,W,,L,27,7350,4157,12311996,,
1996,H6AL07133,"BETHUNE, MILTON R",,2,REP,26375,0,27120,0,0,28,0,16300,9500,0,2500,28300,4045,AL,7,,L,,,0,0,0,12311996,,
1996,H6AL04064,"BRANHAM, JOSEPH RONALD",O,2,REP,15313,0,15313,0,0,0,14913,0,0,0,0,0,400,AL,4,,L,,,0,0,0,6041996,,
1996,H6AL05178,"BURTON, CHARLES HERBERT",,2,REP,10170,0,9345,0,0,824,0,800,1000,0,1000,1860,8370,AL,5,,L,,,0,0,0,12311996,,
1996,H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,337917,0,402128,0,152333,88123,0,0,0,0,0,0,142210,AL,1,,W,,W,64,173455,10349,12311996,,
